id	Drillhole	Texture	Sample 	Location	Analysis 	Depth	Mg24	Al27	Si29	P31	Ca43	Sc45	Ti49	V51	Cr53	Mn55	Co59	Ni60	Cu65	Zn66	Ga69	As75	Sr88	Y89	Zr90	Nb93	Mo95	Sn118	Sb121	Ba137	La139	Ce140	Pr141	Nd146	Sm147	Eu153	Gd157	Tb159	Dy163	Ho165	Er166	Tm169	Yb172	Lu175	Hf178	Ta181	W182	Pb206	Pb207	Pb208	Th232	U238	sumREY
111	RU65-7976	Coarse Hm with U-min inclusions	CLC021	Deposit edge NE, Presence of BIF?	CLC21Mtaciclighter-5	411.30	41.34	288.18	845.84	7.87	135.81	0.10	79.99	69.34	0.62	18.82	6.64	2.31	1.64	3.19	2.75	12.20	1.39	7.15	0.50	10.19	19.24	101.62	12.84	1.65	1.37	3.37	0.19	0.60	0.22	0.06	0.37	0.13	1.31	0.41	1.91	0.45	3.84	0.78	0.04	0.14	200.65	466.31	50.56	4.22	16.78	704.60	22.16
112	RU65-7976	Coarse Hm with U-min inclusions	CLC021	Deposit edge NE, Presence of BIF?	CLC21Mtaciclighter-6	411.30	62.03	483.03	1330.60	8.73	103.47	0.12	17.19	96.07	0.46	29.96	7.57	1.77	0.38	9.13	3.58	9.87	0.72	10.53	0.04	14.03	23.80	299.32	16.55	0.60	0.78	2.89	0.25	0.72	0.21	0.06	0.57	0.20	1.69	0.50	2.57	0.59	5.21	1.06	0.00	0.02	282.46	550.75	57.95	3.34	24.62	863.88	27.84
113	RU65-7976	Coarse Hm with U-min inclusions	CLC021	Deposit edge NE, Presence of BIF?	CLC21Mtaciclighter-7	411.30	49.59	340.13	786.61	28.08	115.18	0.08	8.79	97.31	0.60	30.80	9.00	1.48	1.73	11.57	2.79	6.54	1.10	9.15	0.12	17.22	25.21	281.31	15.17	0.78	0.65	2.45	0.16	0.50	0.23	0.07	0.53	0.19	1.63	0.54	2.52	0.58	5.57	0.99	0.02	0.04	278.32	555.46	57.81	3.71	23.31	862.31	25.76
114	RU65-7976	Coarse Hm with U-min inclusions	CLC021	Deposit edge NE, Presence of BIF?	CLC21Mtaciclighter-8	411.30	363.18	1711.78	2564.91	8.29	71.16	0.23	103.58	94.90	1.22	61.22	10.64	1.56	9.55	13.33	3.28	11.19	1.56	13.50	0.55	37.24	30.48	345.54	20.33	3.12	1.90	6.84	0.42	1.62	0.66	0.10	1.04	0.32	2.20	0.63	3.31	0.68	6.00	1.25	0.02	0.14	332.61	691.67	75.15	7.22	33.18	1070.50	40.47
115	RU65-7976	Coarse Hm with U-min inclusions	CLC021	Deposit edge NE, Presence of BIF?	CLC21Mtaciclighter-9	411.30	1188.59	8510.78	8370.96	8.00	201.98	0.11	56.47	82.48	0.43	122.73	17.04	4.33	14.73	51.34	8.71	11.73	3.88	10.99	0.81	15.75	28.26	195.44	14.99	4.41	6.24	14.49	0.96	2.61	0.42	0.13	1.09	0.22	2.14	0.59	2.37	0.59	4.70	0.93	0.04	0.09	267.88	585.10	67.11	6.46	23.32	876.95	48.47
116	RU65-7976	Coarse Hm with U-min inclusions	CLC022	Deposit edge NE, Presence of BIF?	CLC22 Hm-1	424.05	87.43	228.63	732.89	14.19	92.63	0.10	419.26	128.95	0.82	34.66	15.82	1.26	9.89	25.93	2.98	9.54	3.69	16.88	3.95	722.37	79.81	325.16	17.26	5.00	4.85	14.50	0.82	3.28	0.84	0.18	1.76	0.39	3.96	0.92	4.04	0.87	8.01	1.70	0.05	3.19	229.67	763.24	87.76	22.05	115.84	1024.40	63.00
117	RU65-7976	Coarse Hm with U-min inclusions	CLC022	Deposit edge NE, Presence of BIF?	CLC22 Hm-10	424.05	662.62	4367.09	7506.62	495.12	102.89	0.29	19.33	37.10	0.34	95.58	12.13	1.74	16.57	27.58	7.11	33.36	31.36	14.49	0.22	21.96	25.39	100.30	7.38	10.73	476.55	950.90	94.09	312.33	37.26	5.36	20.22	1.82	6.61	0.90	2.20	0.33	2.41	0.42	0.03	0.09	195.38	281.72	35.57	4.71	6.10	334.78	1925.89
118	RU65-7976	Coarse Hm with U-min inclusions	CLC022	Deposit edge NE, Presence of BIF?	CLC22 Hm-11	424.05	280.80	2122.07	13738.63	224.89	404.70	0.53	19.89	60.51	0.40	42.36	10.38	1.51	5.37	11.13	5.66	37.35	19.76	8.36	0.12	53.64	21.56	176.56	6.44	7.00	28.14	61.62	6.36	20.58	2.86	0.56	2.25	0.29	1.89	0.41	1.19	0.29	2.10	0.38	0.02	0.09	223.32	202.11	26.39	7.60	8.17	292.13	137.28
119	RU65-7976	Coarse Hm with U-min inclusions	CLC022	Deposit edge NE, Presence of BIF?	CLC22 Hm-12	424.05	81.04	326.45	735.57	96.38	263.95	0.07	7.61	53.77	0.47	14.80	10.39	1.41	4.81	2.93	4.35	50.81	9.66	12.13	0.04	35.36	41.00	247.33	12.24	7.64	5.90	20.63	2.01	7.70	1.82	0.27	1.59	0.35	2.53	0.69	2.63	0.55	5.08	0.94	0.00	0.04	396.55	804.64	95.01	4.56	11.20	975.41	64.81
120	RU65-7976	Coarse Hm with U-min inclusions	CLC022	Deposit edge NE, Presence of BIF?	CLC22 Hm-13	424.05	585.27	3778.47	8502.81	100.27	934.97	0.36	36.66	59.13	0.46	93.35	8.71	2.34	3.66	35.20	10.00	16.81	6.13	17.23	0.55	335.30	27.95	170.56	10.57	31.75	14.93	35.88	4.15	12.97	2.30	0.35	2.64	0.41	3.46	0.95	3.84	0.78	6.36	1.22	0.02	0.85	103.78	420.51	45.06	13.42	57.61	680.73	107.47
121	RU65-7976	Coarse Hm with U-min inclusions	CLC022	Deposit edge NE, Presence of BIF?	CLC22 Hm-14	424.05	146.86	581.97	191.37	16.42	127.64	0.46	176.04	135.96	0.59	89.07	11.93	1.29	1.14	19.09	3.22	2.77	2.39	12.26	1.34	422.72	30.54	536.16	10.73	4.41	1.28	4.69	0.31	1.18	0.34	0.13	0.86	0.29	1.84	0.73	3.01	0.74	6.50	1.43	0.03	1.50	234.21	682.85	74.19	8.95	68.81	954.72	35.59
122	RU65-7976	Coarse Hm with U-min inclusions	CLC022	Deposit edge NE, Presence of BIF?	CLC22 Hm-15	424.05	302.79	617.55	80.11	14.33	124.48	0.25	173.31	143.05	0.62	35.10	24.90	1.51	1.47	16.09	3.71	1.22	1.12	11.16	2.00	356.22	36.56	640.56	7.21	1.28	1.13	4.00	0.20	0.76	0.31	0.09	0.81	0.18	1.98	0.61	2.72	0.65	5.61	1.24	0.03	1.44	288.25	740.49	80.04	8.95	72.39	1029.89	31.44
123	RU65-7976	Coarse Hm with U-min inclusions	CLC022	Deposit edge NE, Presence of BIF?	CLC22 Hm-16	424.05	89.45	394.99	553.12	30.01	115.95	0.24	214.92	116.28	0.51	23.34	21.84	2.96	11.29	24.18	3.61	6.35	4.94	8.30	0.71	231.30	24.34	248.54	8.74	6.09	5.73	15.14	1.84	6.09	1.09	0.17	0.99	0.23	1.65	0.49	2.01	0.49	3.94	0.95	0.00	1.17	165.33	403.08	41.86	7.48	51.62	602.46	49.10
124	RU65-7976	Coarse Hm with U-min inclusions	CLC022	Deposit edge NE, Presence of BIF?	CLC22 Hm-17	424.05	82.95	344.17	391.05	13.70	89.73	0.07	2.72	83.83	0.42	29.94	6.97	1.05	0.40	5.60	4.16	15.86	4.78	20.30	0.19	15.89	24.39	180.32	9.71	1.19	1.09	7.30	0.57	3.07	1.59	0.32	2.27	0.63	5.30	1.26	4.85	0.99	8.18	1.66	0.03	0.02	213.01	846.07	91.63	4.65	24.93	1292.78	59.38
125	RU65-7976	Coarse Hm with U-min inclusions	CLC022	Deposit edge NE, Presence of BIF?	CLC22 Hm-18	424.05	368.79	2200.15	16061.83	94.13	254.11	0.36	15.30	57.65	0.00	104.00	9.60	2.10	627.62	13.54	5.35	29.46	7.80	10.33	0.41	25.49	18.09	70.38	5.38	2.89	30.62	41.78	3.65	11.30	1.80	0.25	1.78	0.29	2.65	0.50	1.93	0.44	3.07	0.57	0.05	0.05	62.92	276.14	30.13	4.54	13.54	475.60	110.96
126	RU65-7976	Coarse Hm with U-min inclusions	CLC022	Deposit edge NE, Presence of BIF?	CLC22 Hm-19	424.05	4.04	69.80	280.10	14.13	179.65	0.08	9.47	76.91	0.50	25.18	5.10	2.77	0.47	1.95	1.59	13.80	0.96	18.81	0.11	5.67	17.73	78.52	9.39	1.01	2.35	10.88	0.71	3.28	1.25	0.22	2.14	0.55	4.31	0.99	4.23	0.86	7.87	1.57	0.00	0.01	175.02	752.06	76.29	4.46	29.26	1252.24	60.02
127	RU65-7976	Coarse Hm with U-min inclusions	CLC022	Deposit edge NE, Presence of BIF?	CLC22 Hm-2	424.05	15.18	424.30	318.85	15.69	209.78	0.12	371.12	154.78	0.54	40.36	15.79	2.81	7.00	36.68	3.45	5.66	4.03	17.62	2.87	482.34	32.99	489.17	12.87	6.91	3.83	16.17	0.96	4.05	1.11	0.22	1.35	0.46	3.11	0.90	4.02	0.94	7.06	1.65	0.08	2.22	271.18	900.36	102.01	14.09	96.98	1228.33	63.44
128	RU65-7976	Coarse Hm with U-min inclusions	CLC022	Deposit edge NE, Presence of BIF?	CLC22 Hm-20	424.05	12.41	99.85	618.47	14.06	111.73	0.20	5.87	82.24	1.00	31.21	5.50	2.58	7.58	6.39	1.86	14.23	1.30	19.13	0.21	9.10	15.03	76.62	10.20	1.53	2.38	14.63	0.94	4.06	1.57	0.28	2.29	0.61	4.56	1.10	4.30	0.89	7.27	1.56	0.00	0.03	156.80	760.89	78.82	4.45	30.27	1284.27	65.56
129	RU65-7976	Coarse Hm with U-min inclusions	CLC022	Deposit edge NE, Presence of BIF?	CLC22 Hm-21	424.05	92.00	376.61	315.75	15.31	277.79	0.07	10.46	106.47	0.52	27.80	7.44	0.99	14.55	4.30	4.70	24.49	1.56	20.14	0.20	18.74	26.69	254.99	10.48	4.40	1.07	7.85	0.56	2.77	1.19	0.24	1.92	0.51	4.17	1.19	4.40	0.90	7.59	1.70	0.02	0.05	204.52	932.98	103.18	8.01	34.34	1282.05	56.20
130	RU65-7976	Coarse Hm with U-min inclusions	CLC022	Deposit edge NE, Presence of BIF?	CLC22 Hm-22	424.05	137.19	467.09	365.69	14.26	96.61	0.07	2.39	103.29	0.69	33.69	7.72	0.52	0.53	4.14	5.04	22.51	1.32	21.50	0.17	18.42	29.78	371.81	12.32	1.42	0.65	6.50	0.46	2.32	1.33	0.20	1.82	0.51	4.63	1.15	4.62	1.01	8.84	1.80	0.00	0.04	235.58	993.18	109.11	7.00	35.95	1354.36	57.34
131	RU65-7976	Coarse Hm with U-min inclusions	CLC022	Deposit edge NE, Presence of BIF?	CLC22 Hm-23	424.05	19.60	480.70	210.26	14.07	89.63	0.07	2.99	119.35	0.42	27.49	9.86	0.83	0.40	13.73	3.79	7.50	1.36	20.85	0.07	17.56	30.20	472.74	10.79	0.63	1.01	7.01	0.37	2.40	0.99	0.20	1.98	0.44	4.07	1.06	4.50	1.08	8.40	1.93	0.00	0.02	257.83	911.77	93.59	4.98	40.11	1371.52	56.29
132	RU65-7976	Coarse Hm with U-min inclusions	CLC022	Deposit edge NE, Presence of BIF?	CLC22 Hm-24	424.05	27.32	262.88	187.09	13.35	97.17	0.06	2.44	88.77	0.41	30.34	6.45	2.47	1.12	7.22	3.34	13.85	1.48	19.82	0.28	9.12	21.42	200.75	10.70	0.96	1.33	6.54	0.56	3.19	1.55	0.34	2.33	0.59	4.72	1.23	4.93	1.10	8.37	1.69	0.03	0.02	198.80	814.04	85.14	5.26	34.38	1276.56	58.28
133	RU65-7976	Coarse Hm with U-min inclusions	CLC022	Deposit edge NE, Presence of BIF?	CLC22 Hm-3	424.05	8.08	340.60	358.96	15.66	101.06	0.18	339.40	145.32	0.54	24.18	10.38	1.67	1.82	6.00	1.76	10.83	1.05	16.05	3.06	525.59	100.41	269.77	12.68	0.60	2.06	10.41	0.48	2.34	0.96	0.12	1.38	0.35	2.76	0.87	3.22	0.78	5.68	1.26	0.07	2.44	197.56	692.76	74.47	15.86	99.69	1016.38	48.71
134	RU65-7976	Coarse Hm with U-min inclusions	CLC022	Deposit edge NE, Presence of BIF?	CLC22 Hm-4	424.05	6.88	201.58	312.50	14.68	305.77	0.24	216.47	122.33	0.44	20.97	9.14	2.40	2.71	12.31	2.58	7.21	1.67	11.19	1.72	252.04	30.03	373.43	10.16	2.60	1.48	4.90	0.44	1.32	0.46	0.09	0.94	0.27	2.31	0.69	2.71	0.64	6.06	1.36	0.02	1.22	169.49	628.61	67.72	8.79	62.37	913.76	34.86
135	RU65-7976	Coarse Hm with U-min inclusions	CLC022	Deposit edge NE, Presence of BIF?	CLC22 Hm-5	424.05	69.53	653.68	1156.96	65.24	472.48	0.38	14.45	65.37	0.43	111.18	20.51	4.28	8.55	10.09	11.79	30.97	48.27	11.25	0.22	29.74	41.41	370.38	9.79	15.51	6.60	21.30	2.32	9.75	2.26	0.39	1.66	0.38	2.82	0.68	2.38	0.47	4.01	0.82	0.02	0.01	594.19	651.33	78.18	4.63	11.42	779.21	67.09
136	RU65-7976	Coarse Hm with U-min inclusions	CLC022	Deposit edge NE, Presence of BIF?	CLC22 Hm-6	424.05	40.67	949.76	942.16	85.31	89.46	0.77	6.66	72.17	0.48	237.94	13.33	2.23	0.40	9.98	9.01	31.05	12.27	3.51	0.05	34.75	66.36	316.50	9.62	2.48	2.71	5.92	0.56	2.38	0.72	0.15	0.65	0.12	1.10	0.25	0.90	0.18	1.82	0.31	0.02	0.05	728.25	137.65	18.28	3.83	3.73	176.42	21.29
137	RU65-7976	Coarse Hm with U-min inclusions	CLC022	Deposit edge NE, Presence of BIF?	CLC22 Hm-7	424.05	42.40	812.42	4982.59	109.29	511.65	0.50	2.98	82.73	0.27	203.90	18.53	2.69	0.45	5.95	11.61	37.78	33.33	5.33	0.07	16.45	64.89	409.64	9.19	6.55	4.86	10.69	1.00	3.26	0.73	0.18	0.74	0.15	1.49	0.32	1.10	0.27	2.31	0.54	0.02	0.02	848.50	330.79	40.74	5.00	9.96	375.60	32.97
138	RU65-7976	Coarse Hm with U-min inclusions	CLC022	Deposit edge NE, Presence of BIF?	CLC22 Hm-8	424.05	76.74	621.93	875.27	62.82	271.85	0.09	9.17	55.68	0.45	178.21	22.40	1.68	1.57	6.60	11.55	22.91	29.00	1.23	0.02	40.43	60.22	515.16	6.24	4.57	3.39	8.42	0.70	2.57	0.44	0.08	0.44	0.05	0.30	0.07	0.22	0.04	0.64	0.17	0.00	0.01	834.61	103.11	13.49	2.42	1.01	103.66	18.75
139	RU65-7976	Coarse Hm with U-min inclusions	CLC022	Deposit edge NE, Presence of BIF?	CLC22 Hm-9	424.05	64.94	413.16	918.77	150.03	592.64	0.10	2.66	55.01	0.33	12.69	18.22	1.91	1.67	5.27	7.01	53.01	12.33	8.28	0.00	2.76	46.61	230.30	10.66	3.07	16.33	36.37	2.79	9.52	1.27	0.28	1.10	0.22	1.64	0.44	1.76	0.42	3.94	0.83	0.00	0.01	491.39	660.69	78.44	4.29	2.43	783.09	85.19
140	RU65-7976	Hm, mafic dike	CLC026	Deposit edge NE, Presence of BIF?	CLC26HminCp-1	467.10	1.87	1145.62	399.81	10.65	107.90	0.11	1.27	0.57	0.49	2.94	0.09	0.00	0.32	0.63	4.06	2.00	0.15	0.04	0.12	0.08	5.03	0.57	1.48	0.43	0.15	0.61	0.08	0.28	0.05	0.03	0.02	0.02	0.05	0.01	0.01	0.01	0.05	0.02	0.09	0.06	0.47	0.82	0.16	0.14	0.10	1.55	1.42
141	RU65-7976	Hm, mafic dike	CLC026	Deposit edge NE, Presence of BIF?	CLC26HminCp-2	467.10	0.34	1273.34	332.10	10.14	119.72	0.18	1.91	0.49	0.56	2.55	0.08	0.10	0.35	0.48	3.50	1.36	0.10	0.09	0.05	0.11	9.23	0.39	1.93	0.43	0.20	0.63	0.18	0.32	0.19	0.01	0.06	0.03	0.01	0.05	0.02	0.02	0.01	0.02	0.00	0.03	0.54	1.03	0.17	0.06	0.05	2.70	1.83
142	RU65-7976	Hm, mafic dike	CLC026	Deposit edge NE, Presence of BIF?	CLC26HminCp-3	467.10	6.27	1396.92	250.57	10.26	106.57	0.07	2.58	0.16	0.46	0.30	0.06	0.10	0.30	0.30	1.99	0.26	0.01	0.00	0.19	0.11	2.60	0.23	0.20	0.28	0.01	0.07	0.02	0.06	0.06	0.01	0.13	0.01	0.03	0.03	0.01	0.00	0.02	0.02	0.02	0.08	0.37	1.33	0.07	0.01	0.01	4.45	0.50
143	RU65-7976	Hm, mafic dike	CLC026	Deposit edge NE, Presence of BIF?	CLC26HminCp-4	467.10	19.85	1538.69	37632.93	9.38	190.41	0.20	1.34	40.08	0.71	32.28	0.71	1.16	42500.82	5.84	1.36	12.42	0.55	0.21	0.00	68.81	1.84	46.76	15.20	3.83	0.34	0.97	0.24	0.83	0.18	0.07	0.04	0.01	0.18	0.02	0.01	0.00	0.03	0.05	0.04	0.00	3.04	23.71	7.36	7.34	0.18	6.48	3.19
144	RU65-7976	Hm, mafic dike	CLC026	Deposit edge NE, Presence of BIF?	CLC26HminCp-5	467.10	6.94	1922.20	46232.16	9.48	94.10	0.07	1.06	50.31	0.62	14.05	4.67	0.58	145.67	2.34	2.19	10.63	0.24	0.31	0.12	79.38	4.35	28.03	19.12	5.19	0.14	0.86	0.19	0.72	0.15	0.02	0.19	0.02	0.06	0.02	0.04	0.02	0.04	0.01	0.00	0.01	2.67	13.75	5.48	4.42	0.20	6.20	2.80
145	RU65-7976	Hm, mafic dike	CLC026	Deposit edge NE, Presence of BIF?	CLC26HminCp-6	467.10	1.50	956.11	250.98	10.39	107.24	0.08	1.38	0.40	0.39	4.27	0.05	0.15	0.46	0.75	3.53	0.51	0.01	0.01	0.09	0.14	1.80	0.62	0.28	0.00	0.04	0.13	0.04	0.02	0.02	0.04	0.07	0.02	0.02	0.01	0.01	0.01	0.03	0.01	0.02	0.01	0.31	0.13	0.02	0.03	0.01	0.19	0.46
146	RU65-7976	Hm, mafic dike	CLC026	Deposit edge NE, Presence of BIF?	CLC26HminCp-7	467.10	3.71	1342.79	131.27	10.09	112.91	0.31	1.37	1.21	0.70	3.56	0.03	0.16	0.85	1.41	3.76	1.08	0.53	0.04	0.53	0.21	1.84	0.75	0.16	0.58	0.01	0.10	0.02	0.02	0.03	0.01	0.06	0.00	0.03	0.01	0.02	0.00	0.04	0.01	0.04	0.01	0.62	0.58	0.48	0.43	0.03	0.20	0.40
147	RU65-7976	Hm, mafic dike	CLC026	Deposit edge NE, Presence of BIF?	CLC26Hmlam-1	467.10	1.74	164.93	321.29	11.71	146.44	1.76	1.45	0.62	0.68	1.94	0.06	0.33	0.41	0.53	1.22	3.37	0.11	0.17	1.46	0.02	1.81	0.58	1.74	0.16	0.04	0.05	0.02	0.04	0.02	0.01	0.05	0.01	0.06	0.01	0.08	0.01	0.21	0.02	0.04	0.03	0.05	0.28	0.12	0.17	0.01	0.13	0.79
148	RU65-7976	Hm, mafic dike	CLC026	Deposit edge NE, Presence of BIF?	CLC26Hmlam-10	467.10	15060.34	263.35	701.35	19.07	595.63	0.88	6.98	0.72	0.53	9665.31	6.84	0.80	0.39	10.04	4.11	8.97	2.46	1.03	0.00	0.33	5.50	0.85	7.50	2.34	0.19	0.38	0.04	0.24	0.06	0.01	0.04	0.03	0.27	0.08	0.35	0.11	1.02	0.22	0.00	0.01	0.19	5.21	1.29	1.24	0.03	4.49	4.05
149	RU65-7976	Hm, mafic dike	CLC026	Deposit edge NE, Presence of BIF?	CLC26Hmlam-11	467.10	414.72	2250.26	1251.73	9.13	91.23	0.06	7.23	56.44	0.42	198.90	0.12	0.29	0.28	2.57	2.27	26.31	0.67	0.45	0.03	44.54	5.20	27.72	41.09	3.56	0.19	1.36	0.26	0.89	0.30	0.03	0.23	0.03	0.17	0.04	0.06	0.01	0.10	0.00	0.03	0.01	4.32	15.80	8.56	6.86	0.42	12.64	4.12
150	RU65-7976	Hm, mafic dike	CLC026	Deposit edge NE, Presence of BIF?	CLC26Hmlam-12	467.10	23.17	526.03	997.77	11.94	108.74	1.30	3.81	10.73	0.55	10.40	0.28	0.49	0.59	0.49	2.65	25.71	0.66	0.45	3.69	8.84	10.50	9.50	16.36	1.38	0.29	0.67	0.09	0.32	0.12	0.00	0.12	0.04	0.10	0.05	0.18	0.03	0.29	0.06	0.00	0.01	0.49	10.15	3.81	2.89	0.09	5.32	2.81
151	RU65-7976	Hm, mafic dike	CLC026	Deposit edge NE, Presence of BIF?	CLC26Hmlam-2	467.10	404.52	36.23	576.98	30.45	219.58	1.44	1.50	0.06	0.40	118.72	0.57	1.72	0.87	1.03	4.34	6.50	0.23	0.50	0.00	0.01	1.44	0.09	10.90	0.68	0.19	0.28	0.05	0.22	0.07	0.01	0.12	0.02	0.15	0.05	0.24	0.06	0.53	0.13	0.00	0.01	0.04	1.44	0.56	0.57	0.00	0.33	2.61
152	RU65-7976	Hm, mafic dike	CLC026	Deposit edge NE, Presence of BIF?	CLC26Hmlam-3	467.10	47.62	76.76	363.65	11.02	275.80	0.69	1.11	0.20	0.59	8.87	0.07	0.23	0.40	0.23	4.16	5.03	0.11	0.82	0.04	0.00	1.26	0.17	6.01	0.15	0.05	0.13	0.02	0.18	0.02	0.01	0.20	0.03	0.28	0.07	0.20	0.09	1.10	0.08	0.03	0.00	0.01	0.12	0.02	0.13	0.01	0.17	3.27
153	RU65-7976	Hm, mafic dike	CLC026	Deposit edge NE, Presence of BIF?	CLC26Hmlam-4	467.10	29.90	113.11	1206.51	34.56	112.83	1.62	1.85	0.17	0.61	5.65	0.27	0.54	0.42	0.37	2.71	36.51	1.92	1.06	0.00	0.03	0.90	0.05	18.65	0.85	0.33	0.47	0.10	0.22	0.11	0.05	0.21	0.05	0.20	0.09	0.32	0.12	1.42	0.32	0.03	0.01	0.02	1.98	1.22	1.21	0.01	0.46	5.06
154	RU65-7976	Hm, mafic dike	CLC026	Deposit edge NE, Presence of BIF?	CLC26Hmlam-5	467.10	23.74	170.72	428.74	11.46	104.38	0.83	1.24	0.16	0.43	23.92	0.10	0.22	0.22	0.41	3.95	3.15	0.04	0.35	0.03	0.02	3.13	0.07	2.88	0.43	0.03	0.03	0.01	0.04	0.02	0.01	0.04	0.01	0.08	0.01	0.24	0.06	0.40	0.04	0.03	0.00	0.01	0.42	0.06	0.21	0.02	0.48	1.35
155	RU65-7976	Hm, mafic dike	CLC026	Deposit edge NE, Presence of BIF?	CLC26Hmlam-6	467.10	14.12	1939.51	915.11	10.52	109.35	0.09	8.73	67.47	0.58	32.17	0.26	0.22	0.40	1.69	2.19	18.58	0.37	0.24	0.04	92.30	6.38	52.25	20.86	3.13	0.11	0.91	0.16	0.56	0.31	0.02	0.22	0.01	0.08	0.02	0.05	0.01	0.06	0.02	0.18	0.04	12.00	10.56	4.42	3.64	0.25	4.57	2.75
156	RU65-7976	Hm, mafic dike	CLC026	Deposit edge NE, Presence of BIF?	CLC26Hmlam-7	467.10	2143.13	763.28	804.38	10.11	103.58	0.59	1.29	13.39	0.98	1441.98	1.03	0.21	0.90	2.72	2.96	15.29	0.96	0.48	0.45	5.83	2.07	6.97	15.50	0.94	0.28	0.55	0.12	0.34	0.16	0.01	0.13	0.02	0.17	0.02	0.17	0.03	0.34	0.08	0.04	0.02	0.54	9.91	3.38	2.87	0.08	4.16	2.91
157	RU65-7976	Hm, mafic dike	CLC026	Deposit edge NE, Presence of BIF?	CLC26Hmlam-8	467.10	111.90	87.94	256.63	9.55	110.13	0.60	1.49	0.06	0.69	63.71	0.42	0.85	0.29	1.07	3.24	4.94	0.15	0.06	0.21	0.02	4.38	0.08	4.72	0.49	0.08	0.15	0.00	0.04	0.03	0.01	0.02	0.00	0.05	0.01	0.02	0.01	0.08	0.01	0.03	0.01	0.04	0.48	0.36	0.28	0.01	0.41	0.56
158	RU65-7976	Hm, mafic dike	CLC026	Deposit edge NE, Presence of BIF?	CLC26Hmlam-9	467.10	39.80	72.42	382.15	10.00	89.75	0.61	0.93	0.19	0.50	15.54	0.24	0.19	0.18	0.40	3.48	3.27	0.03	0.04	0.07	0.02	0.96	0.04	4.86	0.24	0.05	0.12	0.00	0.07	0.03	0.00	0.02	0.01	0.01	0.02	0.01	0.00	0.03	0.01	0.00	0.00	0.02	0.26	0.15	0.14	0.01	0.29	0.44
181	RU65-7976	Hm from Mt/Hm conversions	CLC030	Deposit edge NE, Presence of BIF?	CLC30Hmmaybe-1	496.50	97.33	1213.77	8749.61	108.12	849.39	0.48	45.51	52.80	0.36	24.84	5.36	1.38	3.82	6.20	3.89	45.38	6.08	14.03	4.77	710.59	42.23	145.68	38.43	4.78	22.99	62.54	6.11	20.52	2.98	0.76	2.10	0.47	3.48	0.66	2.13	0.50	3.14	0.45	0.08	0.57	507.74	372.33	48.19	7.67	6.80	438.97	142.85
182	RU65-7976	Hm from Mt/Hm conversions	CLC030	Deposit edge NE, Presence of BIF?	CLC30Hmmaybe-10	496.50	28.62	437.26	1086.37	103.84	66.48	0.08	13.89	38.78	0.37	21.86	5.80	0.48	1.35	3.21	4.60	64.51	5.88	6.91	5.96	371.33	48.24	174.44	20.36	5.99	3.64	10.49	1.04	3.47	0.93	0.29	0.95	0.29	2.10	0.50	1.46	0.28	2.18	0.31	0.12	0.16	551.80	224.68	33.73	8.65	3.43	287.88	34.84
183	RU65-7976	Hm from Mt/Hm conversions	CLC030	Deposit edge NE, Presence of BIF?	CLC30Hmmaybe-11	496.50	79.17	879.32	3232.89	62.80	182.15	0.39	15.20	28.15	0.42	183.27	7.62	0.66	3.01	5.10	4.49	55.59	6.24	10.57	0.02	329.40	50.21	128.96	30.18	16.92	3.99	12.06	1.17	4.29	1.22	0.37	1.14	0.39	3.21	0.73	2.04	0.37	3.01	0.48	0.02	0.22	467.85	357.10	50.97	10.44	3.55	490.55	45.05
184	RU65-7976	Hm from Mt/Hm conversions	CLC030	Deposit edge NE, Presence of BIF?	CLC30Hmmaybe-12	496.50	211.63	1619.20	1845.96	69.71	82.65	0.32	27.61	48.13	0.39	43.63	4.06	1.71	1.65	10.37	3.72	43.41	3.74	14.45	1.71	522.37	35.39	139.39	21.20	3.72	5.52	21.60	2.08	8.51	2.78	0.79	3.00	0.91	5.96	1.04	2.97	0.60	4.10	0.47	0.01	0.38	351.70	309.70	38.89	7.02	9.10	763.95	74.78
185	RU65-7976	Hm from Mt/Hm conversions	CLC030	Deposit edge NE, Presence of BIF?	CLC30Hmmaybe-13	496.50	33.25	1070.80	61185.14	129.33	78.53	0.81	25.41	34.30	0.43	131.91	11.36	0.74	47.65	8.96	4.43	62.61	5.50	9.73	0.52	424.13	38.92	134.72	22.62	10.85	2.52	9.67	0.85	3.52	0.81	0.25	1.09	0.26	2.30	0.47	1.49	0.23	2.01	0.30	0.02	0.19	457.51	205.07	34.64	11.35	2.33	248.82	35.49
186	RU65-7976	Hm from Mt/Hm conversions	CLC030	Deposit edge NE, Presence of BIF?	CLC30Hmmaybe-14	496.50	112.38	301.01	998.91	41.85	231.85	0.18	5.12	20.48	0.49	49.93	6.20	1.11	5.17	10.78	4.87	33.64	7.15	4.48	0.02	82.04	85.37	390.29	14.12	7.72	4.80	11.38	1.03	2.84	0.51	0.19	0.63	0.12	1.22	0.24	0.94	0.19	1.78	0.24	0.00	0.03	955.24	275.96	38.37	6.49	2.84	311.54	30.58
